위도,경도,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연도,관리기관전화번호,관리부서,기준일자
35.857225,128.5712889,대구광역시 달서구청,대구광역시 달서구 두류남길 60,대구광역시 달서구 두류동 804-141,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83954722,128.5297917,대구광역시 달서구청,대구광역시 달서구 본리서3길 5,대구광역시 달서구 본리동 1210-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85149444,128.4880278,대구광역시 달서구청,대구광역시 달서구 호산동로36북길 60,대구광역시 달서구 호산동 357-41,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.82428889,128.5492028,대구광역시 달서구청,대구광역시 달서구 월배로68길 48,대구광역시 달서구 송현1동 798-321,생활안전,1,200,회전,30,2020,053-667-3900,디지털정보과,2025-05-27
35.81322222,128.5252806,대구광역시 달서구청,대구광역시 달서구 진천로 46 ,대구광역시 달서구 진천동 503,어린이보호,1,200,고정,30,2020,053-667-3900,디지털정보과,2025-05-27
35.85645,128.5465111,대구광역시 달서구청,대구광역시 달서구 당산로45길 17,대구광역시 달서구 감삼동 31-5,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85557778,128.5452,대구광역시 달서구청,대구광역시 달서구 죽전4길 95,대구광역시 달서구 감삼동 32-34,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85550556,128.5419667,대구광역시 달서구청,대구광역시 달서구 달구벌대로323길 68,대구광역시 달서구 감삼동 35-1,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.85486389,128.5418778,대구광역시 달서구청,대구광역시 달서구 달구벌대로323길 55,대구광역시 달서구 감삼동 37-25,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85349444,128.5422,대구광역시 달서구청,대구광역시 달서구 달구벌대로323길 23,대구광역시 달서구 감삼동 44-15,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.85160278,128.5451333,대구광역시 달서구청,대구광역시 달서구 감삼4길 70,대구광역시 달서구 감삼동 126-31,생활안전,1,200,고정,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85145,128.5443333,대구광역시 달서구청,대구광역시 달서구 감삼4길 55,대구광역시 달서구 감삼동 129-19,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8515764,128.5425006,대구광역시 달서구청,대구광역시 달서구 감삼북길 113,대구광역시 달서구 감삼동 135-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84938889,128.5399806,대구광역시 달서구청,대구광역시 달서구 감삼2길 18,대구광역시 달서구 감삼동 165-17,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.8470264,128.5445244,대구광역시 달서구청,대구광역시 달서구 당산로21길 8,대구광역시 달서구 감삼동 207-1,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.84730833,128.5423444,대구광역시 달서구청,대구광역시 달서구 당산로21길 46,대구광역시 달서구 감삼동 201-2,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84619167,128.543425,대구광역시 달서구청,대구광역시 달서구 와룡로32길 109,대구광역시 달서구 감삼동 205-8,생활안전,1,200,고정,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84477222,128.5436111,대구광역시 달서구청,대구광역시 달서구 와룡로28길 115,대구광역시 달서구 감삼동 206-72,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.84550278,128.5406694,대구광역시 달서구청,대구광역시 달서구 감삼남2길 78,대구광역시 달서구 감삼동 288-5,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85231944,128.5409222,대구광역시 달서구청,대구광역시 달서구 죽전1길 7,대구광역시 달서구 죽전동 280-8,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.85496944,128.5469778,대구광역시 달서구청,대구광역시 달서구 당산로41길 14,대구광역시 달서구 감삼동 30-20,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85532778,128.5437667,대구광역시 달서구청,대구광역시 달서구 당산로41서길 30,대구광역시 달서구 감삼동 53-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85404444,128.5418556,대구광역시 달서구청,대구광역시 달서구 달구벌대로323길 33,대구광역시 달서구 감삼동 44-6,생활안전,1,200,고정,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85326111,128.5425556,대구광역시 달서구청,대구광역시 달서구 달구벌대로323길 16,대구광역시 달서구 감삼동 47-5,생활안전,1,200,고정,30,2015,053-667-3900,디지털정보과,2025-05-27
35.86031389,128.5269028,대구광역시 달서구청,대구광역시 달서구 용산큰못2길 24,대구광역시 달서구 용산1동 920,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85766389,128.522825,대구광역시 달서구청,대구광역시 달서구 성지로16길 61,대구광역시 달서구 용산동 491-1,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.85773611,128.5366361,대구광역시 달서구청,대구광역시 달서구 와룡로53길 10-19,대구광역시 달서구 죽전동 367-12,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8531042,128.5348128,대구광역시 달서구청,대구광역시 달서구 와룡로45길 39,대구광역시 달서구 죽전동 261-1,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.85237222,128.5351028,대구광역시 달서구청,대구광역시 달서구 와룡로43길 36-5,대구광역시 달서구 죽전동 261-3,생활안전,1,200,고정,30,2022,053-667-3900,디지털정보과,2025-05-27
35.8551358,128.5345329,대구광역시 달서구청,대구광역시 달서구 달구벌대로307길 112,대구광역시 달서구 죽전동 399-2,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85219722,128.5443222,대구광역시 달서구청,대구광역시 달서구 감삼북길 79,대구광역시 달서구 감삼동 128-17,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85300278,128.5476667,대구광역시 달서구청,대구광역시 달서구 달구벌대로332길 21,대구광역시 달서구 감삼동 108-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85040833,128.5462778,대구광역시 달서구청,대구광역시 달서구 달구벌대로332길 82,대구광역시 달서구 감삼동 118-8,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8497039,128.5451995,대구광역시 달서구청,대구광역시 달서구 감삼남길 149,대구광역시 달서구 감삼동 124-38,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.84751111,128.5382611,대구광역시 달서구청,대구광역시 달서구 감삼남길 17,대구광역시 달서구 감삼동 169-10,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.84676944,128.5400028,대구광역시 달서구청,대구광역시 달서구 감삼남2안길 11,대구광역시 달서구 감삼동 177-6,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8478,128.5436361,대구광역시 달서구청,대구광역시 달서구 감삼남5길 36,대구광역시 달서구 감삼동 200-25,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85906667,128.5697778,대구광역시 달서구청,대구광역시 달서구 두류길 89,대구광역시 달서구 두류2동 1236-5,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8514898,128.5523678,대구광역시 달서구청,대구광역시 달서구 야외음악당로39서길 91,대구광역시 달서구 두류동 637-1,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.85318611,128.5506444,대구광역시 달서구청,대구광역시 달서구 달구벌대로344길 87,대구광역시 달서구 두류3동 631-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84042222,128.5536111,대구광역시 달서구청,대구광역시 달서구 대명천로12길 46,대구광역시 달서구 성당1동 383-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84159167,128.5515667,대구광역시 달서구청,대구광역시 달서구 야외음악당로11길 21,대구광역시 달서구 성당동 498-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85975833,128.4971722,대구광역시 달서구청,대구광역시 달서구 선원로15안길 49,대구광역시 달서구 신당동 1677,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85273889,128.4939833,대구광역시 달서구청,대구광역시 달서구 계대동문로4길 59,대구광역시 달서구 신당동 1834-6,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.86084722,128.5235806,대구광역시 달서구청,대구광역시 달서구 새방로6길 31,대구광역시 달서구 용산동 555-6,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.8493463,128.5124526,대구광역시 달서구청,대구광역시 달서구 성서로72길 85,대구광역시 달서구 이곡1동 1000-300,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.86071944,128.5045028,대구광역시 달서구청,대구광역시 달서구 선원로23북길 17,대구광역시 달서구 이곡2동 1312-16,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.84809722,128.5196472,대구광역시 달서구청,대구광역시 달서구 문화회관3길 49-17,대구광역시 달서구 장기동 284,생활안전,1,200,고정,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8501422,128.4915862,대구광역시 달서구청,대구광역시 달서구 달서대로 565,대구광역시 달서구 신당동 1320-7,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8524595,128.5401307,대구광역시 달서구청,대구광역시 달서구 죽전1안길 5,대구광역시 달서구 죽전동 252-13,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83198611,128.5472361,대구광역시 달서구청,대구광역시 달서구 월배로83길 87,대구광역시 달서구 송현2동 549-2,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.82845833,128.5569222,대구광역시 달서구청,대구광역시 달서구 월배로84길 105,대구광역시 달서구 송현1동 1993-7,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83653333,128.5555444,대구광역시 달서구청,대구광역시 달서구 월배로97길 16,대구광역시 달서구 송현2동 1036-8,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83271944,128.5521222,대구광역시 달서구청,대구광역시 달서구 월배로85길 13,대구광역시 달서구 송현2동 183-63,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.82613056,128.5518,대구광역시 달서구청,대구광역시 달서구 월배로74길 63,대구광역시 달서구 송현동 1974-7,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81182222,128.5293917,대구광역시 달서구청,대구광역시 달서구 진천로4길 66,대구광역시 달서구 진천동 194-1,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.81148333,128.5283361,대구광역시 달서구청,대구광역시 달서구 상화북로5길 26,대구광역시 달서구 진천동 264-1,어린이보호,1,200,회전,30,2020,053-667-3900,디지털정보과,2025-05-27
35.80666667,128.5194389,대구광역시 달서구청,대구광역시 달서구 화암로73길 8-10,대구광역시 달서구 대곡동 1017-5,생활안전,1,200,고정,30,2022,053-667-3900,디지털정보과,2025-05-27
35.82481389,128.5132167,대구광역시 달서구청,대구광역시 달서구 월암로 95,대구광역시 달서구 대천동 1012,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81043611,128.5345694,대구광역시 달서구청,대구광역시 달서구 상원로1길 18,대구광역시 달서구 상인2동 1459-13,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81332222,128.5342917,대구광역시 달서구청,대구광역시 달서구 상원로9길 29,대구광역시 달서구 상인2동 370-15,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81519722,128.5482028,대구광역시 달서구청,대구광역시 달서구 상화북로43길 5,대구광역시 달서구 상인1동 1546,생활안전,1,200,고정,30,2022,053-667-3900,디지털정보과,2025-05-27
35.85635556,128.4791611,대구광역시 달서구청,대구광역시 달서구 달구벌대로203길 81,대구광역시 달서구 호산동 133-7,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.85795833,128.5390111,대구광역시 달서구청,대구광역시 달서구 와룡로58길 27,대구광역시 달서구 죽전동 173-1,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.8463111,128.4923309,대구광역시 달서구청,대구광역시 달서구 달서대로 530,대구광역시 달서구 신당동 1095-11,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.8544,128.5335139,대구광역시 달서구청,대구광역시 달서구 와룡로49길 65,대구광역시 달서구 용산동 890-14,생활안전,1,200,회전,30,2018,053-667-3900,디지털정보과,2025-05-27
35.84521944,128.5494889,대구광역시 달서구청,대구광역시 달서구 당산동길 89,대구광역시 달서구 성당2동 675-43,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.85766944,128.525125,대구광역시 달서구청,대구광역시 달서구 장산1길 108,대구광역시 달서구 용산동 927-5,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.85646667,128.5252361,대구광역시 달서구청,대구광역시 달서구 장산2길 42,대구광역시 달서구 용산동 939-5,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.85586389,128.5244694,대구광역시 달서구청,대구광역시 달서구 장산1길 62,대구광역시 달서구 용산동942,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.85183056,128.4848611,대구광역시 달서구청,대구광역시 달서구 호산동로35북길 34,대구광역시 달서구 호산동 352-19,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.85078333,128.4833278,대구광역시 달서구청,대구광역시 달서구 호산동로35길 50,대구광역시 달서구 호산동 370-11,생활안전,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.857525,128.4926722,대구광역시 달서구청,대구광역시 달서구 서당로9길 46-28,대구광역시 달서구 신당동 1714-19,생활안전,1,200,고정,30,2016,053-667-3900,디지털정보과,2025-05-27
35.83629722,128.5507,대구광역시 달서구청,대구광역시 달서구 구마로42길 15,대구광역시 달서구 송현2동 83-3,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83541944,128.5388694,대구광역시 달서구청,대구광역시 달서구 구마로26안길 4,대구광역시 달서구 본동 1069-11,생활안전,1,200,고정,30,2022,053-667-3900,디지털정보과,2025-05-27
35.835801,128.5296919,대구광역시 달서구청,대구광역시 달서구 학산로7안길 66,대구광역시 달서구 본동 610,생활안전,1,200,회전,30,2024,053-667-3900,디지털정보과,2025-05-27
35.83035278,128.5499889,대구광역시 달서구청,대구광역시 달서구 송현동길 16,대구광역시 달서구 송현2동 185-30,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83615556,128.5338917,대구광역시 달서구청,대구광역시 달서구 구마로12길 2,대구광역시 달서구 본동 870,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.83069167,128.5571444,대구광역시 달서구청,대구광역시 달서구 중흥로9길 11,대구광역시 달서구 송현1동 242,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.8234,128.5526889,대구광역시 달서구청,대구광역시 달서구 송현로2길 71,대구광역시 달서구 송현1동 1967-28,생활안전,1,200,고정,30,2022,053-667-3900,디지털정보과,2025-05-27
35.81201389,128.5281139,대구광역시 달서구청,대구광역시 달서구 상화북로5길 36,대구광역시 달서구 진천동 261-1,생활안전,1,200,고정,30,2014,053-667-3900,디지털정보과,2025-05-27
35.810651,128.526682,대구광역시 달서구청,대구광역시 달서구 진천로4길 2,대구광역시 달서구 진천동 283-10,도시공원,1,200,회전,30,2016,053-667-3900,디지털정보과,2025-05-27
35.81234167,128.5166722,대구광역시 달서구청,대구광역시 달서구 월배로 19-27,대구광역시 달서구 유천동 370-2,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.80763889,128.5115722,대구광역시 달서구청,대구광역시 달서구 비슬로540길 27,대구광역시 달서구 대곡동 22-4,생활안전,1,200,회전,30,2023,053-667-3900,디지털정보과,2025-05-27
35.82761389,128.5238806,대구광역시 달서구청,대구광역시 달서구 조암로6길 33,대구광역시 달서구 월성동 774-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81006944,128.5497917,대구광역시 달서구청,대구광역시 달서구 상인로5길 9,대구광역시 달서구 상인3동 1580-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.80705833,128.5441583,대구광역시 달서구청,대구광역시 달서구 미리샘길 17-13,대구광역시 달서구 도원동 1447-9,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.80975278,128.540825,대구광역시 달서구청,대구광역시 달서구 상화로51안길 28,대구광역시 달서구 상인2동 1332-113,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.80931389,128.5462583,대구광역시 달서구청,대구광역시 달서구 상화로59길 23,대구광역시 달서구 상인2동 1158,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
35.81575556,128.5374028,대구광역시 달서구청,대구광역시 달서구 월배로40길 69,대구광역시 달서구 상인2동 276-1,생활안전,1,200,회전,30,2015,053-667-3900,디지털정보과,2025-05-27
